arrondissement_de_résidence,latitude,longitude
Edea,3.7990131,10.1265567
Limbe,4.010289,9.207058
Douala 4,4.0784366,9.646547842214456
Njombe,4.586724,9.652932
Buea,4.1567895,9.2315915
Bafoussam,5.4758844,10.4217852
Douala 3,4.0284247,9.781925684743074
Douala 5,4.13538725,9.803437839777267
Yaoundé,3.8689867,11.5213344
Tiko,4.075571,9.3650187
Douala 1,3.8612467,9.6235775
Batié,5.3134898,10.3241571
Meiganga,6.5172123,14.2947879
Douala 2,4.0160332,9.71308859274031
Kribi,2.9434098,9.9126989
Tombel,4.750007,9.6691991
Manjo,4.8475223,9.8230312
Douala 6,3.9775812999999998,9.699652636529498
Dschang,5.4469923,10.053309
Pas Mentionne,,
Région de l'Ouest,5.53563825,10.582882586016343
